Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
8\8 ذى الحجه,6/4/2025,1:00 AM,6/4/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس / يوم عرفه,6/5/2025,1:00 AM,6/5/2025,1:15 AM,FALSE,,,TRUE
13 ذو الحجة,6/9/2025,1:00 AM,6/9/2025,1:15 AM,FALSE,,,TRUE
14 ذو الحجة,6/10/2025,1:00 AM,6/10/2025,1:15 AM,FALSE,,,TRUE
15 ذو الحجة,6/11/2025,1:00 AM,6/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,6/12/2025,1:00 AM,6/12/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,6/16/2025,1:00 AM,6/16/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,6/19/2025,1:00 AM,6/19/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,6/23/2025,1:00 AM,6/23/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,6/26/2025,1:00 AM,6/26/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,6/30/2025,1:00 AM,6/30/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/3/2025,1:00 AM,7/3/2025,1:15 AM,FALSE,,,TRUE
تاسوعاء,7/4/2025,1:00 AM,7/4/2025,1:15 AM,FALSE,,,TRUE
عاشوراء,7/5/2025,1:00 AM,7/5/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/7/2025,1:00 AM,7/7/2025,1:15 AM,FALSE,,,TRUE
13 محرم,7/8/2025,1:00 AM,7/8/2025,1:15 AM,FALSE,,,TRUE
14 محرم,7/9/2025,1:00 AM,7/9/2025,1:15 AM,FALSE,,,TRUE
15 محرم,7/10/2025,1:00 AM,7/10/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/14/2025,1:00 AM,7/14/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/17/2025,1:00 AM,7/17/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/21/2025,1:00 AM,7/21/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/24/2025,1:00 AM,7/24/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,7/28/2025,1:00 AM,7/28/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,7/31/2025,1:00 AM,7/31/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/4/2025,1:00 AM,8/4/2025,1:15 AM,FALSE,,,TRUE
13 صفر,8/7/2025,1:00 AM,8/7/2025,1:15 AM,FALSE,,,TRUE
14 صفر,8/8/2025,1:00 AM,8/8/2025,1:15 AM,FALSE,,,TRUE
15 صفر,8/9/2025,1:00 AM,8/9/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/11/2025,1:00 AM,8/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,8/14/2025,1:00 AM,8/14/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/18/2025,1:00 AM,8/18/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,8/21/2025,1:00 AM,8/21/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,8/25/2025,1:00 AM,8/25/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,8/28/2025,1:00 AM,8/28/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/1/2025,1:00 AM,9/1/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/4/2025,1:00 AM,9/4/2025,1:15 AM,FALSE,,,TRUE
13 ربيع الأول,9/5/2025,1:00 AM,9/5/2025,1:15 AM,FALSE,,,TRUE
14 ربيع الأول,9/6/2025,1:00 AM,9/6/2025,1:15 AM,FALSE,,,TRUE
15 ربيع الأول,9/7/2025,1:00 AM,9/7/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/8/2025,1:00 AM,9/8/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/11/2025,1:00 AM,9/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/15/2025,1:00 AM,9/15/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/18/2025,1:00 AM,9/18/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/22/2025,1:00 AM,9/22/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,9/25/2025,1:00 AM,9/25/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,9/29/2025,1:00 AM,9/29/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/2/2025,1:00 AM,10/2/2025,1:15 AM,FALSE,,,TRUE
13 ربيع الثاني,10/5/2025,1:00 AM,10/5/2025,1:15 AM,FALSE,,,TRUE
14 ربيع الثاني,10/6/2025,1:00 AM,10/6/2025,1:15 AM,FALSE,,,TRUE
15 ربيع الثاني,10/7/2025,1:00 AM,10/7/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/9/2025,1:00 AM,10/9/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,10/13/2025,1:00 AM,10/13/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/16/2025,1:00 AM,10/16/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,10/20/2025,1:00 AM,10/20/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/23/2025,1:00 AM,10/23/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,10/27/2025,1:00 AM,10/27/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,10/30/2025,1:00 AM,10/30/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/3/2025,1:00 AM,11/3/2025,1:15 AM,FALSE,,,TRUE
13 جمادى الأولى,11/4/2025,1:00 AM,11/4/2025,1:15 AM,FALSE,,,TRUE
14 جمادى الأولى,11/5/2025,1:00 AM,11/5/2025,1:15 AM,FALSE,,,TRUE
15 جمادى الأولى,11/6/2025,1:00 AM,11/6/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/10/2025,1:00 AM,11/10/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,11/13/2025,1:00 AM,11/13/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/17/2025,1:00 AM,11/17/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,11/20/2025,1:00 AM,11/20/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,11/24/2025,1:00 AM,11/24/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,11/27/2025,1:00 AM,11/27/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/1/2025,1:00 AM,12/1/2025,1:15 AM,FALSE,,,TRUE
13 جمادى الثانية,12/4/2025,1:00 AM,12/4/2025,1:15 AM,FALSE,,,TRUE
14 جمادى الثانية,12/5/2025,1:00 AM,12/5/2025,1:15 AM,FALSE,,,TRUE
15 جمادى الثانية,12/6/2025,1:00 AM,12/6/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/8/2025,1:00 AM,12/8/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,12/11/2025,1:00 AM,12/11/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/15/2025,1:00 AM,12/15/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,12/18/2025,1:00 AM,12/18/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/22/2025,1:00 AM,12/22/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الخميس,12/25/2025,1:00 AM,12/25/2025,1:15 AM,FALSE,,,TRUE
صيام يوم الاتنين,12/29/2025,1:00 AM,12/29/2025,1:15 AM,FALSE,,,TRUE
